ID,c1Percentage,c2Percentage,c3Percentage
"NINV1",0,0.666666666666667,0.333333333333333
"NINV2",0,0.75,0.25
"NINV3",0,1,0
"NINV4",0.125,0.125,0.75
"NINV5",0.25,0.5,0.25
"NINV6",0.25,0.75,0
"NINV7",0,0.5,0.5
"INV1",0.333333333333333,0.666666666666667,0
"INV2",0.333333333333333,0.666666666666667,0
"INV3",0.2,0.6,0.2
"INV4",0.333333333333333,0.333333333333333,0.333333333333333
"INV5",0,1,0
"INV6",0.125,0.875,0
"INV7",0.2,0.8,0
"INV8",0,1,0
"INV9",0.333333333333333,0.666666666666667,0
"NINV8",0.454545454545455,0.545454545454545,0
"NINV9",0,1,0
"NINV10",0.333333333333333,0.666666666666667,0
"NINV11",0,0,1
"NINV12",0,0.5,0.5
"NINV13",0.444444444444444,0.555555555555556,0
"NINV14",0.454545454545455,0.545454545454545,0
"NINV15",0.5,0.4,0.1
"NINV16",0,0.5,0.5
"NINV17",0,1,0
"NINV18",0.909090909090909,0.0909090909090909,0
"NINV19",0.625,0.375,0
"NINV20",0.733333333333333,0.2,0.0666666666666667
"NINV21",0,0.75,0.25
"NINV22",0.25,0.75,0
"NINV23",0.2,0.8,0
"NINV24",0.666666666666667,0.166666666666667,0.166666666666667
"NINV25",0.125,0.875,0
"NINV26",0,1,0
"INV10",0,0,1
"INV11",0,0.75,0.25
"INV12",0.333333333333333,0.333333333333333,0.333333333333333
"INV13",0.6,0.4,0
"INV14",0.714285714285714,0.285714285714286,0
"INV15",0.333333333333333,0.666666666666667,0
"INV16",0,0.333333333333333,0.666666666666667
"INV17",0.846153846153846,0.153846153846154,0
"NINV27",0,0,1
"NINV28",0,1,0
"NINV29",0.25,0.5,0.25
"NINV30",0,0,1
"NINV31",0.25,0.5,0.25
"NINV32",0.5,0,0.5
"NINV33",0,1,0
"NINV34",0,0.5,0.5
"NINV35",0,0.666666666666667,0.333333333333333
"NINV36",0,0,1
"NINV37",0,0.5,0.5
"NINV38",0,0.666666666666667,0.333333333333333
"NINV39",0.5,0.5,0
"NINV40",0.375,0.5,0.125
"NINV41",0.333333333333333,0.666666666666667,0
"NINV42",0,0.5,0.5
"NINV43",0,0.6,0.4
"NINV44",0.333333333333333,0.666666666666667,0
"NINV45",0,1,0
"NINV46",0,0,1
"NINV47",0,0.333333333333333,0.666666666666667
"NINV48",0,0.5,0.5
"NINV49",0.111111111111111,0.888888888888889,0
"NINV50",0,0.25,0.75
"NINV51",0,0,1
"NINV52",0,1,0
"NINV53",0.333333333333333,0,0.666666666666667
"NINV54",0,0,1
"NINV55",0.25,0.5,0.25
"NINV56",0.333333333333333,0.666666666666667,0
"NINV57",0.166666666666667,0.833333333333333,0
"NINV58",0.0909090909090909,0.909090909090909,0
"NINV59",0.2,0.2,0.6
"NINV60",0,1,0
"NINV61",0,0,1
"NINV62",0,0.75,0.25
"NINV63",0,1,0
"NINV64",0.166666666666667,0.666666666666667,0.166666666666667
"NINV65",0,0.333333333333333,0.666666666666667
"NINV66",0.4,0.4,0.2
"NINV67",0.428571428571429,0.571428571428571,0
"NINV68",0,1,0
"INV18",0,1,0
"INV19",0,1,0
"INV20",0,1,0
"INV21",0,0.666666666666667,0.333333333333333
"INV22",0,1,0
"INV23",0,1,0
"INV24",0.333333333333333,0.333333333333333,0.333333333333333
"NINV69",0.333333333333333,0.333333333333333,0.333333333333333
"NINV70",0,0.428571428571429,0.571428571428571
"NINV71",0,0.5,0.5
"NINV72",0,0,1
"NINV73",0.2,0.2,0.6
"NINV74",0.2,0.4,0.4
"NINV75",0,1,0
"NINV76",0,0,1
"NINV77",0,1,0
"NINV78",0,0,1
"NINV79",0.571428571428571,0.285714285714286,0.142857142857143
"NINV80",0.285714285714286,0.285714285714286,0.428571428571429
"NINV81",0,0.666666666666667,0.333333333333333
"NINV82",0,0.5,0.5
"NINV83",1,0,0
"NINV84",0,0,1
"NINV85",0,0.333333333333333,0.666666666666667
"NINV86",0,0,1
"NINV87",0.5,0.5,0
"INV25",0.142857142857143,0.857142857142857,0
"INV26",0.333333333333333,0.333333333333333,0.333333333333333
"INV27",0.333333333333333,0.666666666666667,0
